Episode,Title,Manga Chapter
403,Another Strong Enemy Appears! Broadaxe-Wielding Sentomaru,510 | 511
404,Admiral Kizaru's Fierce Attack - The Straw Hat Crew's Desperate Situation!,511 | 512
405,Disappearing Crew - The Final Day of the Straw Hat Crew,513
406,Special Historical Arc - Boss Luffy Appears Again,Filler
407,Special Historical Arc - Destroy! Thriller Company's Trap,Filler
408,Landing! No-Boys-Allowed Island Amazon Lily,514
409,Hurry! Back to the Crew - Adventure on the Isle of Women,515
410,Everyone's Drunk on Love! Pirate Empress Hancock,516
411,The Secret Hidden on Their Backs - Luffy Encounters the Snake Princess,517
412,The Heartless Judgment! Marguerite Turned to Stone!!,518
413,Luffy's Hard Trial! The Power of the Snake Sisters' Haki!!,519
414,Battle with Full-Powered Abilities!! Gomu Gomu vs. Hebi Hebi,520
415,Hancock's Confession - The Sisters' Disgusting Past,521
416,Rescue Ace! The New Destination is the Great Prison,522
417,Love is a Hurricane! Hancock in Love,522 | 523
418,The Crewmates' Whereabouts - Weather Science and Karakuri Island,523
419,The Crewmates' Whereabouts - The Island of Giant Birds and the Pink Paradise!,523 | 524
420,The Crewmates' Whereabouts - The Bridge that Connects Islands and Man-Eating Plants,524
421,The Crewmates' Whereabouts - The Negative Princess and the Devil King!,524
422,A Life-threatening Break-in! The Underwater Prison Impel Down!,525 | 526
423,Reunion in Hell!? The User of the Bara Bara No Mi!,526
424,Break through Crimson Hell! Buggys great Uproar Plan,527
425,The Prison's strongest Man! Introduction of the Poison-Man Magellan,528 | 530
426,Movie-connected Special: The 'Gold Lion's' Ambition Moves Forward,Filler
427,Movie-connected Special: 'Little East Blue' is Targeted,Filler
428,Movie-connected Special: The Amigo Pirate Crew's Vicious Assault,Filler
429,Movie-connected Special: The Decisive Battle! Luffy vs. Largo,Filler
430,"The Imprisoned Royal Shichibukai! Jinbe, Knight of the Sea",528 | 529
431,The Trap of Chief Guard Saldeath - Level 3 Starvation Hell,530
432,The Liberated Swan! Reunion! Bon Kurei,530 | 531
433,Chief Warden Magellan Moves - The Net to Trap Straw Hat Is Complete!,532
434,Preparations for War! A Decisive Battle in Level 4 - Blazing Hell,533
435,Magellan's Strength! Bon Kurei Flees Before His Enemy,533 | 534
436,The Fight Finished! Luffy's Final Life Risking Attack,535
437,Because He's My Friend - Bon Kurei's Do-or-Die Rescue,535 | 536
438,Paradise in Hell - Impel Down Level 5.5,536 | 537
439,Luffy's Treatment Begins - Iva's Miraculous Power!!,537 | 538
440,Believe in Miracles! Bon Kurei Cheers From His Heart,538 | 539
441,Luffy Revives! Iva-san's Jailbreak Plan Begins!!,539
442,"Ace's Convoy Starts - The Offense and Defense of the Lowest Level, Level 6!",540
443,The Strongest Team is Formed - Shake Impel Down to it's Core!,540 | 541
444,Even More Chaos! Blackbeard Teach Invades,541 | 542
445,A Dangerous Meeting! Blackbeard and Shiliew of the Rain,542 | 543
446,His Spirit Won't Break! Hannyabal Goes All Out,543 | 544
447,The Jet Pistol of Rage - Luffy vs. Blackbeard,544
448,Stop Magellan! Iva-san Unleashes His Secret Attack,545
449,Magellan's Clever Scheme! The Jailbreak Plan is Obstructed,545 | 546
450,The Jailbreak Team Driven Into a Corner - Forbidden Move 'Venom Demon',546 | 547
451,Cause the Last Miracle - Breaking Through the Gate of Justice,548
452,The Destination is Marine Headquarters - The Ship Sets Out to Rescue Ace!,549
453,The Crewmates' Whereabouts - Weatheria Report and Cyborg Animals,555 | 556 | 548 | 549
454,The Crewmates' Whereabouts - Giant Bird Chicks and a Pink Showdown,543 | 544 | 552 | 554
455,The Crewmates' Whereabouts - The Revolutionary Army and the Forest of Gluttony's Trap!,545 | 546 | 550 | 551
456,The Crewmates' Whereabouts - The Giant Gravestone and Panties of Gratitude,557 | 558 | 559 | 560
457,Special Retrospective Before Marineford - The Siblings' Vow!,Filler
458,Special Retrospective Before Marineford - Assemble! The Three Admirals,Filler
459,The Time of the Decisive Battle Draws Near! The Marine's Strongest Battle Formation is Ready!,549 | 550 | 551
460,An Enormous Fleet Appears - Invasion! The Whitebeard Pirates,551
461,The Beginning of the Battle! Ace and Whitebeard's Past,551 | 552
462,The Power to Destroy the World! The Gura Gura no Mi's Ability,552 | 553
463,Burn Everything to Ash! Admiral Akainu's Power,553 | 554
464,The Devil's Descendant! Little Oars Jr. Dashes Off!,554 | 555
465,Only the Winner is Justice - Put Into Motion! Sengoku's Plan!,556
466,The Straw Hat Team Arrives – The Battlefield Grows More Intense,557
467,"I'll Save You Even If I Die - Luffy vs. The Marines, The Battle Starts",558
468,Consecutive Battles! Devil Fruit User Army vs. Devil Fruit User Army,559
469,Kuma Causes Disaster – Iva-san’s Angry Attack,560
470,Master Swordsman Mihawk - The Black Sword's Slash Draws Near Luffy,561
471,The Extermination Operation Begins - The Might of the Pacifista Army,562
472,Akainu's Plot! Whitebeard Entrapped,563
473,The Encirclement Walls Activated! The Whitebeard Pirates Driven Into a Corner!!,564
474,The Order to Perform the Execution is Given - Break Through the Encircling Wall!,565
475,Rush Into the Final Phase! Whitebeard's Maneuver to Turn the Tides,566
476,Luffy's Strength is Exhausted! All-Out War in the Oris Plaza!!,567
477,Power that Reduces One's Life - Tension Hormones Return,568
478,For a Promise!!Luffy and Koby Clash!,569
479,In Front of the Execution Platform! The Path to Ace is Opened!!,570 | 571
480,The Path they Each Chose - Luffy vs. Garp!,571
481,Ace Freed! Whitebeard's Final Captain's Order!,572
482,The Power that Burns Even Fire - Akainu's Ruthless Pursuit,573
483,Searching for an Answer - Fire Fist Ace Dies on the Battlefield,574
484,Marine Headquarters Collapses! Whitebeard's Silent Rage!,574 | 575 | 576
485,Settling the Score - Whitebeard vs. The Blackbeard Pirates,576
486,The Start of the Show - Blackbeard's Plot Revealed,577
487,Akainu's Tenacity! The Fist of Magma Attacks Luffy,578
488,A Desperate Cry - Seconds of Valor that Change Destiny,579
489,Enter Shanks! The Ultimate War Ends at Last,580
490,"Powerful Independent Rivals! The Beginning of the ""New Era""!",581
491,Arrival at the Island of Women - Cruel Reality Tortures Luffy,581 | 582
492,The Strongest Tag-Team! Luffy and Toriko's Hard Struggle!,Filler
493,Luffy and Ace - The Story of the Brothers' Meeting!,582 | 583
494,Enter Sabo! The Boy From Grey Terminal,583 | 584
495,I Won't Run - Ace's Desperate Rescue Operation,584
496,Someday to the Sea! The Three Brat's Sake Cups of Oath!,585
497,Leaving the Dadan Family!? The Secret Base is Complete!,585
498,Apprentice Luffy!? The Man who Fought the Pirate King!,584 | 585
499,The Battle Against the Big Tiger! Who Will Be the Captain?!,Filler
500,Stolen Freedom! The Nobles' Trap Draws Near the Three Brothers,585 | 586
501,The Flames Are Lit - The Gray Terminal's Crisis,586 | 587
502,Where Is Freedom? The Boy's Sad Departure,587 | 588
503,I'm Counting On You! A Letter From a Brother!,588 | 589
504,To Fulfill the Promise - Separate Departures!,1 | 589
505,I Want to See Them! Luffy's Tearful Scream,590
506,The Straw Hat Crew Shocked! The Bad News is Received,Filler
507,Reunion with Dark King Rayleigh - It's Time For Luffy's Decision,591
508,Back to the Captain - Jailbreak from Sky Island and the Incident on the Winter Island,592
509,Contact! The Great Swordsman Mihawk - Zoro's Struggle of Willpower,592
510,Sanji's Suffering - The Queen Returns to His Kingdom!,591 | 593
511,"An Unexpected Return! Luffy, to Marineford!",594
512,Delivered to the Crew - The Big News Comes Through!,593 | 594
513,The Pirates Move Out! The Earth Shattering New World,595
514,Live Through Hell - Sanji's Fight with Men at Stake,595 | 596
515,I'll Get Stronger and Stronger! Zoro's Vow to his Captain,596 | 597
516,"Luffy’s Training Begins. See You 2 Years later, At The Promised Place",597
517,"The New Chapter Begins. Regroup, Straw Hat Pirates!",598
518,A Hair-Trigger! Luffy vs. Fake Luffy,598 | 599
519,"The Marines Move Out, Target the Straw Hat Crew!",599 | 600
520,"Massive Gathering, Threat of the Fake Straw Hats!",600
521,The Battle Begins! The Results of Training!,601
522,Everyone's Reunited! Luffy Sets Sail for the New World!,602
523,A Shocking Revelation - The Man Who Protected the Sunny!,603 | 604
524,"Undersea Struggle, The Demon of the Deep Appears!",604 | 605
525,"Disaster in the Deep Sea, The Straw Hat Crew Gets Lost!",605 | 606
526,Undersea Volcanic Eruption! Sailing To Fishman Island,606 | 607
527,"Landing at Fishman Island, The Lovely Mermaids!",607 | 608
528,Eruption of Excitement! Sanji's Crisis of Life!,609
529,Fishman Island Collapses?! Shirley's Prediction!,610
530,"The King of Fishman Island, Sea God Neptune!",611
531,Ryugu Palace! Led By The Shark That Was Saved!,612
532,The Coward Crybaby! Hard-Shell Tower’s Mermaid Princess,613
533,Emergency Situation! Ryuugu Palace Held Captive,614
534,Ryuugu Palace Shaking! Shirahoshi and the Kidnapping,614 | 615
535,Hody's Attack! The Beginning of his Vengeful Plan!,616
536,Decisive Battle at Ryugu Palace! Zoro vs. Hody,617
537,Protect Shirahoshi! Decken's Pursuit,618
538,The Crew is Defeated!? Hody Controls Ryuugu Palace,619
539,Revived Fate! Nami and the Fishman Pirates,620
540,Hero of the Slave Liberation - Adventurer Tiger,621 | 622
541,Kizaru Appears! A Trap Aimed at Tiger,620 | 621 | 622
542,Team Formation! Save Chopper,Filler
543,The Hero's Last Moments! The Impact of Tiger's Truth,623
544,The Pirates Split - Jinbe vs. Arlong,623 | 624
545,Fishman Island is Shaking! The Landing of a Celestial Dragon,624 | 625
546,Unexpected Disaster! An Assassin's Bullet Shuts the Future,625 | 626
547,Back to the Present! Hody Begins to Move,627
548,The Kingdom is Shaking! Instruction for Neptune's Execution,628
549,A Crack Arises! Luffy vs. Jinbe,629
550,Hody's Accident - The Evil Drug's True Power!,629 | 630
551,The Decisive Battle Begins at Gyoncorde Plaza!,631
552,Shocking Confession - The Truth about Otohime's Assassination,632
553,"Shirahoshi's Tears! Finally, Luffy's Appearance!",633
554,"Big Clash! Straw Hat Pirates vs. 100,000 Opponents",634
555,Explosive Move! Zoro and Sanji Sally Forth!,634 | 635
556,First Showing! Sunny's Secret Weapons!,634 | 635 | 636
557,Iron Pirate! Entry of Franky Shogun,636
558,Noah Approaching! The Crisis of Fishman Island's Destruction!,636 | 637
559,"Hurry Up, Luffy! Shirahoshi's Desperate Situation",638
560,Beginning of the Battle! Luffy vs. Hody!,639
561,Battle Royal! The Group vs. the New Fishman Pirates!,640
562,Luffy is Defeated!? The Hour of Hody's Revenge,641
563,Shocking Truth! Hody's True Identity!,642 | 643 | 644
564,To Zero! Passionate Desire to Luffy!,642 | 644
565,Luffy's Whole Body Blow! Red Hawk Explosion,643 | 644 | 645
566,Final Conclusion! Hody's Final Battle,645 | 646
567,Stop Noah! Elephant Gatling of Desperation!,645 | 647
568,To the Future! The Path Towards the Sun!,648
569,Revealed Secret - The Truth of Ancient Weapons,649
570,The Crew Is Surprised! The New Marine Fleet Admiral!,650
571,I Love Sweets! The Yonko Big Mom,651
572,Grim Prospects! A Trap that Waits in the New World,652
573,Finally Setting Sail! Goodbye Fishman Island,653
574,To the New World! Aim for the Strongest Sea,654 | 655
575,Z's Ambition Arc - The Little Giant Lily!,Filler
576,Z's Ambition Arc - Introduction of the Mystery of the Strongest Army Corps!,Filler
577,Z's Ambition Arc - A Desperate Big Escape Strategy!,Filler
578,Z's Ambition Arc - Luffy vs. Shuzo!,Filler
579,"Landing! The Burning Island, Punk Hazard",655
580,A Scorching Battle! Luffy vs. the Giant Dragon!,655 | 656
581,The Crew is Confused! The Shocking Beheaded Samurai Appears!,656 | 657 | 658
582,Surprise! The Secret of the Island is Finally Revealed .,657 | 658
583,Save the Children! Start of a Gang Fight!,658 | 659
584,A Duel of Swordplay! Brook and the Mysterious Samurai Torso,659
585,Shichibukai! Trafalgar Law,660
586,A Big Pinch! Luffy Sinks Into The Cold Lake,661
587,Clash! Law vs. Vice Admiral Smoker,662 | 663
588,Reunion after Two Years! Luffy and Law,662 | 663
589,Worst of the World - The Scary Scientist Caesar,664
590,History's Strongest Collaboration vs. Glutton of the Sea,Filler
591,Chopper Enraged - Master's Tyrannical Experiments,665
592,Gang Obliteration! Legendary Hitman Attack!,666
593,Save Nami! Luffy's Snow Mountain Battle,667
594,Formation! The Pirate Alliance Luffy-Law!,668
595,Capture Master - The Pirate Alliance's Operation Begins!,669
596,On the Verge of Annihilation - The Monster of Death Flies in,670
597,Big Battle - Caesar Activates his True Ability!,671 | 672
598,The Samurai Who Cuts Fire! Foxfire Kin'emon!,672
599,Shock! The Identity of the Mysterious Man Vergo!,673
600,Protect the Children! Master's Evil Hands Close in,674
601,New World's Severe Earthquake - Caesar's Nightmare Experiment,675
602,History's Worst Slaughter Weapon! Shinokuni,676
603,The Counterattack Begins! Luffy and Law's Great Escape,677
604,The Aim is Building R! The Pirate Alliance's Great Assault!,678 | 679
605,Tashigi's Tears - G-5's Suicidal Breakthrough Strategy,679
606,Vice Admiral's Betrayal! 'Demon Bamboo' Vergo,680
607,Incandescent Fierce Battle - Luffy vs. Caesar,681
608,The Mastermind in the Shadows! Doflamingo Moves!,682
609,"Luffy's Freezing to Death!? The Terrifying Snow Woman, Monet!",683
610,Fist Fight! Two Vice Admirals Fight,684
611,The Small Dragon! Momonosuke Revealed,685
612,Deadly Combat in Snowstorm - The Straw Hats vs. the Snow Woman,686
613,Secret Technique Blasts! Zoro's Strongest One-Sword Style!,687
614,I'll Protect My Friends! Mocha's Desperate Escape,688
615,Brownbeard's Bitterness! Luffy's Angry Attack,689
616,Shocking Conclusion! Smoker vs. Vergo!,690 | 693
617,Caesar Defeated! The Strongest Grizzly Magnum,691 | 692
618,Invasion! The Assassin From Dressrosa,692
619,Rampage! The Invincible Franky Shogun,693 | 694
620,Desperate Situation! Punk Hazard's Big Explosion,694
621,Capture Caesar - General Cannon Blasts,695
622,Emotional Meeting! Momonosuke and Kin'emon,696
623,Regretful Departure - Leaving Punk Hazard!,697
624,G-5's Annihilation! Doflamingo Assaults!,698
625,Tension! Aokiji vs. Doflamingo,698 | 699
626,Caesar has Disappeared! The Pirate Alliance Sallies,699
627,Luffy Dies in the Sea!? The Collapse of the Pirate Alliance,Filler
628,Big Reversal! Luffy's Explosive Fist of Fury,Filler
629,Violent Shock! Earth-shaking Big News,Filler
630,"Adventure! The Country of Love and Passion, Dressrosa",701
631,Swirling Madness - Corrida Colosseum,701 | 702
632,Dangerous Love - Dancing Girl Violet,702 | 703
633,The Most Powerful Unknown Warrior! Lucy Appears,703 | 704
634,The Pirate Prince Cavendish,704 | 705 | 706
635,The Fated Reunion - Bellamy the Hyena,705 | 706
636,Supernova! Bartolomeo the Cannibal,706 | 707
637,Rivalry of Warriors! B Block on Fire!,707 | 708
638,One-hit Knockout! The Astounding King Punch,709
639,Fighting Fish Attack! Break through the Iron Bridge of Death,710
640,"Adventure! The Island of Fairies, Green Bit",710 | 711 | 712
641,The Unknown World - Tontatta Kingdom,711 | 712
642,Scheme of the Century - Doflamingo Gets Moving,706 | 711 | 712
643,Heaven and Earth Shakes! The True Power of Admiral Fujitora,713 | 714
644,An Angry Blow! The Giant vs. Lucy,714
645,The Destructive Cannon Explodes! A Close Call for Lucy,715
646,The Legendary Pirate - Don Chinjao!,716
647,Light and Shadow - The Darkness Lurking in Dressrosa!,717
648,"Sortie - The Legendary Hero, Usoland",718 | 726
649,The Fierce Battle's Conclusion! Lucy VS Chinjao!,718 | 719
650,Luffy and the Fated Gladiator Rebecca,720
651,Protect her 'til the End! Rebecca and the Toy Soldier,721
652,Final Battleground - D Block Battle Begins,722
653,Decisive Battle! Jora vs. Straw Hat Crew,722 | 723
654,Blade of Beauty! Cavendish of the White Horse,706 | 723
655,The Great Clash! Sanji VS. Doflamingo,724
656,Rebecca’s Sword of Death! Backwater Sword Dance,725
657,The Unluckiest Fighters! Logan vs. Rebecca,725 | 726 | 727 | 731
658,Shock! The Toy Soldier’s True Identity!,726
659,A Chilling Past! The Secret Behind Dressrosa,727
660,Nightmare! That One Tragic Evening in Dressrosa,728
661,Shichibukai Confrontation - Law vs. Doflamingo,728 | 729
662,Two Great Forces Face-off! Straw Hat and the Heavenly Demon,730
663,"Luffy, Startled — The Man Who Will Inherit Ace’s Will",731
664,Start Operation SOP — Usoland Charges,732
665,Hot Emotions - Rebecca vs. Suleiman,733
666,Winner Decided!? The End to the D-Block Bash,734
667,The Admiral's Decision — Fujitora vs. Doflamingo,735
668,The Final Round Begins — Diamante the Hero Takes the Stage,736
669,The Castle Moves! Elite Officer Pica Emerges,736 | 737
670,Dragon Claw Explosion! Lucy's Threatening Blow!,736 | 737 | 738
671,Defeat Sugar - The Dwarf Soldiers Charge In!,738 | 739
672,The Last Light – The Secret of Our Captain!,739 | 740
673,The Rupture Human – Gladius’ Big Explosion!,740
674,Liar Usoland on the Run!,741
675,A Fated Meeting – Kyros and King Riku,741 | 742
676,Operation Failed! Hero Usoland Dies!?,742
677,The Legend is Back! Kyros' All-out Blow,743
678,Fire Fist Explosion! The Power of the Revived Mera Mera no Mi,744
679,Gallant Appearance – Revolutionary Army Chief of Staff Sabo,744 | 745
680,The Devil's Trap – Dressrosa Annihilation Plan,745
681,The 500 Million Man – The Target is Usoland!,746
682,Breaking through Enemy Lines - Luffy and Zoro Launch the Counter-Attack,746 | 747
683,"With a Rumbling of the Ground - The God of Destruction, Giant Pica Descends",747
684,Gathering into a Powerful Front! Luffy and a Group of Brutal Warriors!,748
685,Great Advance! Luffy Army vs. Pica!,749 | 750
686,A Shocking Confession! Law's Soul-burning Vow!,749 | 750
687,A Big Clash! Chief of Staff Sabo vs. Admiral Fujitora,750 | 751
688,A Desperate Situation - Luffy Gets Caught in a Trap!,751 | 752
689,Great Escape! Luffy's Miraculous Elephant Gun!,752
690,A United Front – Luffy's Breakthrough to Victory,752 | 753
691,The Second Samurai – Evening Shower Kanjuro Appears,753 | 754 | 755
692,The Struggle with Pica – Zoro's One Finishing Move,754 | 755
693,Princess of Little People – The Imprisoned Mansherry,755
694,Invulnerable! The Terrifying Headcracker Doll Army,756
695,Life-Risking! Luffy is the Trump Card to Victory,756 | 757
696,A Tearful Reunion – Rebecca and Kyros!,757 | 758
697,One Shot One Kill - The Man Who Will Save Dressrosa,758
698,Anger Explosion - Luffy and Law's Ultimate Secret Plan,759
699,Noble Family - Doflamingo's True Identity!,760
700,Ultimate Power - The Secret of the Ope Ope no Mi!,761
701,Sad Memories - Law the Boy from the White City!,762
702,Celestial Dragon! Doffy's Sublime Past,763
703,A Difficult Path – Law and Corazon's Life Journey,764
704,Time Draws Near! Seize the Ope Ope no Mi!,765
705,A Moment of Resolution - Corazon's Parting Smile!,766
706,"Go, Law - The Kind-hearted Man's Final Battle!",767
707,To Freedom! Law Unleashes the Injection Shot,768
708,Heated Battle - Law vs. Doflamingo,769 | 770
709,A Decisive Battle Against the Executives - Proud Hajrudin,769 | 770
710,Battle of Love - Navy Leader Sai vs. Baby 5,769 | 771
711,A Man's Pride - Bellamy's Last Assault!,769 | 770 | 771 | 772 | 780
712,Storm and Stress - Hakuba vs. Dellinger,772 | 773
713,Bari-Bari - Homage God Fist Strikes!,773
714,The Healing Princess – Save Mansherry!,774 | 779
715,Showdown Between Men – Senor's Requiem of Love,775 | 779
716,Stardust of Death – Diamante's Storm of Fierce Attacks,775 | 776
717,Trueno Bastardo! Kyros' Blow of Anger!,776 | 777
718,Moving Across the Ground! The Giant Statue Pica's Surprise Maneuver!,777 | 778
719,Aerial Battle - Zoro's Deadly Secret Technique Explodes!,778
720,See ya Later! Bellamy's Farewell Blow!,779
721,Law Dies - Luffy's Fierce Assault of Anger!,780
722,A Blade of Tenacity! The Gamma Knife Counterattack!,781
723,Haki Clash - Luffy vs. Doflamingo,781 | 782
724,Impossible to Attack - Trebol's Shocking Secret,782 | 783
725,Anger Erupts! I Will Take Everything upon Myself!,783
726,Gear Fourth! The Miraculous Boundman!,784
727,Great Counterattack! Doflamingo's Awakening!,785
728,Luffy! The All-Out Leo Bazooka!,785 | 786
729,Kaen Ryuo - Protect Luffy's Life,786 | 787
730,"Tears of Miracles! Mansherry's Fight!""",787 | 788
731,As Long as We Breathe! Stop the Deadly Birdcage!,788 | 789
732,Dead or Alive! A Fateful Countdown!,789
733,Attack on a Celestial! Luffy's King Kong Gun of Anger!,790
734,To Be Free! Dressrosa's Delight!,791
735,The Unheard-of! Admiral Fujitora's Surprising Decision!,792
736,Sending a Shock Wave! The Worst Generation Goes Into Action!,793
737,The Birth of the Legend! The Adventures of the Revolutionary Warrior Sabo!,794
738,The Brothers' Bond! The Untold Story Behind Luffy and Sabo's Reunion!,794 | 795
739,"The Strongest Creature! One of the Four Emperors - Kaido, King of the Beasts!",795
740,Fujitora Takes Action! The Complete Siege of the Straw Hats!,796
741,A State of Emergency! Rebecca Is Kidnapped!,796 | 797
742,The Bond Between Father and Daughter! Kyros and Rebecca!,797 | 798
743,Manly Spirit! Luffy vs. Fujitora in a Head-to-Head Clash,798 | 799
744,No Way Out! Admiral Fujitora's Ruthless Pursuit!,799
745,Exchanging the Sons' Cups! Straw Hat Grand Fleet!,800
746,Clash of the Mightiest – Raging Monsters of the New World,801
747,The Silver Fortress – The Great Adventures of Luffy and Bart,802
748,An Underground Labyrinth – Luffy vs Mine Cart Man,Filler
749,The Sword Technique Heats Up! Law and Zoro Finally Appear!,Filler
750,A Desperate Situation - Luffy Fights a Battle in Extreme Heat,Filler
751,"The Start of a New Adventure - Arrival at the Mysterious Island, 'Zou'!",802
752,The New Shichibukai - Son of the Legendary Whitebeard Arrives,802 | 803
753,A Deadly Elephant Climb - A Great Adventure on the Back of the Giant Elephant!,803 | 804
754,Battle Starts! Luffy vs. the Mink Tribe!,805
755,Garchu! The Straw Hat Crew Reunites,806
756,The Counterattack Begins! The Curly Hat Pirates moves out!,807
757,An Incoming Threat - Jack of the Beasts Pirates!,807 | 808
758,Ruler of Day - Enter Duke Inuarashi!,808 | 809
759,Ruler of Night - Nekomamushi Appears,809 | 810
760,Destruction of the Capital - Curly Hat Pirates Arrive on Land!,808 | 809 | 810
761,Race Against Time - The Bond of the Minks and the Crew!,810
762,The Rascal Returns Home - Yonko Big Mom's Assassin,811 | 812
763,The Truth Behind His Disappearance - Sanji's Shocking Invitation,812 | 813
764,To My Buds! Sanji's Farewell Note!,813 | 814
765,Let's Go See Master Nekomamushi,814 | 815
766,Luffy's Decision - Sanji on the Brink of Quitting!,815
767,A Volatile Situation - The Dog and the Cat and the Samurai!,816
768,"The Third One! Raizo of the Mist, the Ninja, Appears!",817
769,A Red Stone! A Guide to the One Piece,817 | 818
770,The Secret of the Wano Kingdom – The Kozuki Clan and the Poneglyph,818
771,A Man’s Vow – Luffy and Kozuki Momonosuke,819
772,The Legendary Journey! The Dog and the Cat and the Pirate King!,819 | 820
773,Returning Nightmare - Assault of the Invulnerable Jack,820 | 821
774,Defensive Battle of Zou - Luffy and Zunisha!,821
775,Save the Giant Elephant - The Straw Hats Rescue Operation!,Filler
776,Descending the Elephant – Setting Sail for Sanji’s Retrieval!,822
777,To the Reverie - Princess Vivi and Princess Shirahoshi,823
778,To the Reverie - Rebecca and the Sakura Kingdom,823
779,Kaido Returns - The Worst Generation Threatened!,824
780,A Hungry Front - Luffy and the Marine Rookies!,Filler
781,The Persistent Trio – The Great Pursuit for the Straw Hats!,Filler
782,Fist of the Devil – Showdown! Luffy vs. Grant,Filler
783,Sanji’s Homecoming! Into Big Mom’s Territory!,824 | 825
784,0 and 4 – A Confrontation with Germa 66!,825 | 826
785,The Deadly Poison Crisis – Luffy and Reiju!,826 | 827
786,"Totto Land! One of the Yonko ""Big Mom"" Appears",827
787,"The Yonko’s Daughter – Sanji’s Fiancée ""Pudding""",828
788,A Massive Attack! Mom's Hunger Pangs,828 | 829
789,The Capital Crumbles!? Big Mom and Jinbe,829
790,The Yonko's Castle – Arrival on Whole Cake Island,830
791,The Forest of Sweets! Luffy vs. Luffy,831
792,Mom's Assassin - Luffy and the Seducing Woods!,831 | 832
793,The Seafaring Nation – Judge the King of Germa,832 | 833
794,A Showdown Between Father and Son – Judge vs. Sanji,833 | 834
795,Great Ambition – Big Mom and Caesar,834
796,Kingdom of Souls – Mom’s Fearsome Power!,835
797,"A Top Executive! One of the Three Commanders ""Cracker"" Appears",835 | 836
798,An Enemy With 800 Million Bounty – Luffy vs. Thousand Arms Cracker,836 | 837
799,Full Force Showdown – Gear Fourth vs. Bisu Bisu Ability,837 | 838
800,1 and 2 – Assemble! The Vinsmoke Family,838 | 839
801,The Benefactor's Life! Sanji and Owner Zeff!,839
802,An Angry Sanji! The Secret of Germa 66!,839 | 840
803,The Past that He Let Go of! Vinsmoke Sanji!,840
804,To East Blue - Sanji's Decision to Set Sail,841
805,A Battle of Limits - Luffy and the Infinite Biscuits!,841 | 842
806,Power of Fullness - New Gear Fourth Tankman!,842 | 843
807,Saddest Duel - Luffy vs. Sanji Part 1,843
808,Saddest Duel - Luffy vs. Sanji Part 2,843 | 844
809,A Storm of Revenge! An Enraged Army Comes to Attack!,845
810,The End of the Adventure - Sanji's Resolute Proposal,845
811,I'll Wait Here - Luffy vs. the Enraged Army,846
812,Infiltration Inside the Castle - Steal the Road Poneglyph,846 | 847
813,Face-to-face - Luffy and Big Mom,847 | 848
814,Shout of the Soul - Brook and Pedro's Lightning Operation,848 | 849
815,Farewell – Pudding’s Tears of Resolve,848 | 849
816,Fate of the Left Eye – Pedro vs Baron Tamago,850
817,Moist Cigarette! The Night Before Sanji's Wedding!,850 | 851
818,The Undaunted Soul - Brook vs. Big Mom,851
819,Sora's Wish! Germa's Failure - Sanji!,852
820,Sanji is Back - Luffy’s Great Flat-out Run Counterattack,852 | 853
821,"The Chateau in Turmoil! Luffy, to the Rendezvous!",853 | 854
822,The Decision to Part! Sanji and the Straw Hat Bento,854
823,The Yonko Rolls Over - The Great Brook Rescue Mission!,855
824,"The Rendezvous! Luffy, a One-on-One at His Limit!",855 | 856
825,Liar - Luffy and Sanji,856
826,Sanji Returns – Crash It! The Tea Party from Hell,857
827,A Secret Meeting! Luffy vs. The Fire Tank Pirates,857 | 858
828,The Deadly Pact! Luffy & Bege's Allied Forces,858 | 859
829,Luffy’s Secret Plan – Just Before the Curtain Rises! The Conspired Wedding Ceremony,859 | 860
830,Family Gathering – The Curtain Rises! The Tea Party from Hell,860
831,The Pretend Couple! Enter Sanji ♡ Pudding,861
832,The Kiss of Death! The Yonko Assassination Plan Begins!,862
833,Offering up a Sake Cup! Chivalrous Jinbe repays his debt!,863
834,The plan failed!? Big Mom Pirates Counterattack!,864
835,Run Sanji! SOS Germa 66!,865
836,The Mystery of Mama - The Island of Giants and the Little Beast,866
837,Mama's Birthday - The Day that Carmel has disappeared,867
838,Launchers Explosion! Big Mom Assassination Moment,868
839,Evil Army - Transformation! Germa 66,868 | 869
840,Cutting the Father-Son Relationship! Sanji and Judge!,869 | 870
841,Tea Party Escape - Luffy VS Big Mom,870 | 871
842,Execution Starts - Luffy Allied Army Annihilation !?,871 | 872
843,The Castle Collapsed - Straw Hat Pirates Begins Great Escape,872 | 873
844,The Spear of Elbaf - Onslaught! The Flying Big Mom,873 | 874
845,Pudding’s Resolve Blazes - The Seducing Woods,874
846,The Thunder’s Counterattack - Nami and the Stormy Zeus,875
847,A Coincidental Reunion - Sanji and the Evil Pudding in Love,875 | 876
848,Protecting the Sunny - Fierce Battle! Chopper and Brook,876 | 877
849,Before the Dawn - Guardians Leader Pedro,877 | 878
850,I Will Definitely Return! Luffy’s Life-Risking Departure,878
851,"The Man with a Bounty of Billion - The Strongest Sweet Commander, Katakuri",879
852,A Hard Battle Starts - Luffy vs. Katakuri,879 | 880
853,"The Green Room - An Invincible Helmsman, Jinbe",880 | 881
854,The Menacing Mogura – Luffy’s Silent Battle,881 | 882
855,End of Death Battle!? Katakuri's Rage Awakens,882 | 883
856,The Forbidden Secret! Katakuri's Merienda!,883
